"league_name","season","team_long_name","avg_team_rating_pro_season","last_season_rating","points_in_season","points_in_last_season"
Netherlands Eredivisie,"2013/2014",FC Twente,71.12,72.61,63,62
Netherlands Eredivisie,"2014/2015",FC Twente,70.44,71.12,49,63
Netherlands Eredivisie,"2015/2016",FC Twente,68.1,70.44,43,49
Netherlands Eredivisie,"2008/2009",FC Utrecht,70,,44,
Netherlands Eredivisie,"2009/2010",FC Utrecht,69.44,70,53,44
Netherlands Eredivisie,"2010/2011",FC Utrecht,70.55,69.44,47,53
Netherlands Eredivisie,"2011/2012",FC Utrecht,67.6,70.55,43,47
Netherlands Eredivisie,"2012/2013",FC Utrecht,69.01,67.6,63,43
Netherlands Eredivisie,"2013/2014",FC Utrecht,69.04,69.01,41,63
Netherlands Eredivisie,"2014/2015",FC Utrecht,68.65,69.04,41,41
Netherlands Eredivisie,"2015/2016",FC Utrecht,68.25,68.65,53,41
Netherlands Eredivisie,"2008/2009",FC Volendam,68.48,,29,
Netherlands Eredivisie,"2008/2009",Feyenoord,70.68,,45,
Netherlands Eredivisie,"2009/2010",Feyenoord,70.81,70.68,63,45
Netherlands Eredivisie,"2010/2011",Feyenoord,69.41,70.81,44,63
Netherlands Eredivisie,"2011/2012",Feyenoord,69.35,69.41,70,44
Netherlands Eredivisie,"2012/2013",Feyenoord,72.42,69.35,69,70
Netherlands Eredivisie,"2013/2014",Feyenoord,72.52,72.42,67,69
Netherlands Eredivisie,"2014/2015",Feyenoord,71.68,72.52,59,67
Netherlands Eredivisie,"2015/2016",Feyenoord,73.21,71.68,63,59
Netherlands Eredivisie,"2013/2014",Go Ahead Eagles,66.67,,38,
Netherlands Eredivisie,"2014/2015",Go Ahead Eagles,66.75,66.67,27,38
Netherlands Eredivisie,"2008/2009",Heracles Almelo,67.65,,32,
Netherlands Eredivisie,"2009/2010",Heracles Almelo,67.93,67.65,56,32
Netherlands Eredivisie,"2010/2011",Heracles Almelo,68.25,67.93,49,56
Netherlands Eredivisie,"2011/2012",Heracles Almelo,68.23,68.25,40,49
Netherlands Eredivisie,"2012/2013",Heracles Almelo,68.28,68.23,38,40
Netherlands Eredivisie,"2013/2014",Heracles Almelo,67.83,68.28,37,38
Netherlands Eredivisie,"2014/2015",Heracles Almelo,67.54,67.83,37,37
Netherlands Eredivisie,"2015/2016",Heracles Almelo,68.33,67.54,51,37
Netherlands Eredivisie,"2008/2009",N.E.C.,68.52,,42,
Netherlands Eredivisie,"2009/2010",N.E.C.,68,68.52,33,42
Netherlands Eredivisie,"2010/2011",N.E.C.,68.28,68,43,33
Netherlands Eredivisie,"2011/2012",N.E.C.,68.44,68.28,45,43
Netherlands Eredivisie,"2012/2013",N.E.C.,67.72,68.44,37,45
Netherlands Eredivisie,"2013/2014",N.E.C.,67.66,67.72,30,37
Netherlands Eredivisie,"2015/2016",N.E.C.,68.26,67.66,46,30
Netherlands Eredivisie,"2008/2009",NAC Breda,69.06,,45,
Netherlands Eredivisie,"2009/2010",NAC Breda,69.66,69.06,46,45
Netherlands Eredivisie,"2010/2011",NAC Breda,68.72,69.66,41,46
Netherlands Eredivisie,"2011/2012",NAC Breda,67.71,68.72,38,41
Netherlands Eredivisie,"2012/2013",NAC Breda,67.73,67.71,38,38
Netherlands Eredivisie,"2013/2014",NAC Breda,67.28,67.73,35,38
Netherlands Eredivisie,"2014/2015",NAC Breda,67.47,67.28,28,35
Netherlands Eredivisie,"2012/2013",PEC Zwolle,67.44,,39,
Netherlands Eredivisie,"2013/2014",PEC Zwolle,67.8,67.44,40,39
Netherlands Eredivisie,"2014/2015",PEC Zwolle,68.6,67.8,53,40
Netherlands Eredivisie,"2015/2016",PEC Zwolle,68.01,68.6,48,53
Netherlands Eredivisie,"2008/2009",PSV,74.01,,65,
Netherlands Eredivisie,"2009/2010",PSV,73.96,74.01,78,65
Netherlands Eredivisie,"2010/2011",PSV,73.64,73.96,69,78
Netherlands Eredivisie,"2011/2012",PSV,73.26,73.64,69,69
Netherlands Eredivisie,"2012/2013",PSV,73.84,73.26,69,69
Netherlands Eredivisie,"2013/2014",PSV,72.19,73.84,59,69
Netherlands Eredivisie,"2014/2015",PSV,73.79,72.19,88,59
Netherlands Eredivisie,"2015/2016",PSV,74.15,73.79,84,88
Netherlands Eredivisie,"2009/2010",RKC Waalwijk,66.11,,15,
Netherlands Eredivisie,"2011/2012",RKC Waalwijk,66.39,66.11,45,15
Netherlands Eredivisie,"2012/2013",RKC Waalwijk,68.08,66.39,37,45
Netherlands Eredivisie,"2013/2014",RKC Waalwijk,66.73,68.08,32,37
Netherlands Eredivisie,"2008/2009",Roda JC Kerkrade,68.28,,30,
Netherlands Eredivisie,"2009/2010",Roda JC Kerkrade,68.2,68.28,47,30
Netherlands Eredivisie,"2010/2011",Roda JC Kerkrade,68.77,68.2,55,47
Netherlands Eredivisie,"2011/2012",Roda JC Kerkrade,68.42,68.77,44,55
Netherlands Eredivisie,"2012/2013",Roda JC Kerkrade,67.76,68.42,33,44
Netherlands Eredivisie,"2013/2014",Roda JC Kerkrade,67.46,67.76,29,33
Netherlands Eredivisie,"2015/2016",Roda JC Kerkrade,67.72,67.46,34,29
Netherlands Eredivisie,"2013/2014",SC Cambuur,66.82,,39,
Netherlands Eredivisie,"2014/2015",SC Cambuur,66.8,66.82,41,39
Netherlands Eredivisie,"2015/2016",SC Cambuur,66.56,66.8,18,41
Netherlands Eredivisie,"2008/2009",SC Heerenveen,70.42,,60,
Netherlands Eredivisie,"2009/2010",SC Heerenveen,69.75,70.42,37,60
Netherlands Eredivisie,"2010/2011",SC Heerenveen,69.08,69.75,41,37
Netherlands Eredivisie,"2011/2012",SC Heerenveen,69.52,69.08,64,41
Netherlands Eredivisie,"2012/2013",SC Heerenveen,70.09,69.52,42,64
Netherlands Eredivisie,"2013/2014",SC Heerenveen,69.12,70.09,57,42
Netherlands Eredivisie,"2014/2015",SC Heerenveen,68.02,69.12,50,57
Netherlands Eredivisie,"2015/2016",SC Heerenveen,68.94,68.02,42,50
Netherlands Eredivisie,"2008/2009",Sparta Rotterdam,65.8,,35,
Netherlands Eredivisie,"2009/2010",Sparta Rotterdam,66.61,65.8,26,35
Netherlands Eredivisie,"2009/2010",VVV-Venlo,67.23,,35,
Netherlands Eredivisie,"2010/2011",VVV-Venlo,66.87,67.23,21,35
Netherlands Eredivisie,"2011/2012",VVV-Venlo,66.64,66.87,31,21
Netherlands Eredivisie,"2012/2013",VVV-Venlo,66.49,66.64,28,31
Netherlands Eredivisie,"2008/2009",Vitesse,67.29,,43,
Netherlands Eredivisie,"2009/2010",Vitesse,68.18,67.29,32,43
Netherlands Eredivisie,"2010/2011",Vitesse,67.98,68.18,35,32
Netherlands Eredivisie,"2011/2012",Vitesse,69.61,67.98,53,35
Netherlands Eredivisie,"2012/2013",Vitesse,72.08,69.61,64,53
Netherlands Eredivisie,"2013/2014",Vitesse,71.56,72.08,55,64
Netherlands Eredivisie,"2014/2015",Vitesse,70.54,71.56,58,55
Netherlands Eredivisie,"2015/2016",Vitesse,69.05,70.54,46,58
Netherlands Eredivisie,"2008/2009",Willem II,68.64,,37,
Netherlands Eredivisie,"2009/2010",Willem II,67.4,68.64,23,37
Netherlands Eredivisie,"2010/2011",Willem II,66.15,67.4,15,23
Netherlands Eredivisie,"2012/2013",Willem II,65.92,66.15,23,15
Netherlands Eredivisie,"2014/2015",Willem II,67.72,65.92,46,23
Netherlands Eredivisie,"2015/2016",Willem II,68.04,67.72,29,46
Poland Ekstraklasa,"2010/2011",Cracovia,68.32,,29,
Poland Ekstraklasa,"2011/2012",Cracovia,68.77,68.32,22,29
Poland Ekstraklasa,"2013/2014",Cracovia,62.31,68.77,39,22
Poland Ekstraklasa,"2014/2015",Cracovia,61.79,62.31,37,39
Poland Ekstraklasa,"2015/2016",Cracovia,63.02,61.79,45,37
Poland Ekstraklasa,"2012/2013",GKS Bełchatów,64.36,,31,
Poland Ekstraklasa,"2014/2015",GKS Bełchatów,62.36,64.36,31,31
Poland Ekstraklasa,"2014/2015",Górnik Łęczna,61.28,,34,
Poland Ekstraklasa,"2015/2016",Górnik Łęczna,60.72,61.28,31,34
Poland Ekstraklasa,"2010/2011",Jagiellonia Białystok,64.29,,48,
Poland Ekstraklasa,"2011/2012",Jagiellonia Białystok,64.05,64.29,39,48
Poland Ekstraklasa,"2012/2013",Jagiellonia Białystok,64.3,64.05,37,39
Poland Ekstraklasa,"2013/2014",Jagiellonia Białystok,62.3,64.3,39,37
Poland Ekstraklasa,"2014/2015",Jagiellonia Białystok,62.86,62.3,49,39
Poland Ekstraklasa,"2015/2016",Jagiellonia Białystok,63.81,62.86,35,49
Poland Ekstraklasa,"2011/2012",Korona Kielce,66.41,,48,
Poland Ekstraklasa,"2012/2013",Korona Kielce,63.48,66.41,36,48
Poland Ekstraklasa,"2013/2014",Korona Kielce,62.74,63.48,37,36
Poland Ekstraklasa,"2014/2015",Korona Kielce,62.01,62.74,39,37
Poland Ekstraklasa,"2015/2016",Korona Kielce,62.89,62.01,37,39
Poland Ekstraklasa,"2010/2011",Lech Poznań,67.77,,45,
Poland Ekstraklasa,"2011/2012",Lech Poznań,68.19,67.77,52,45
Poland Ekstraklasa,"2012/2013",Lech Poznań,65.8,68.19,61,52
Poland Ekstraklasa,"2013/2014",Lech Poznań,65.67,65.8,53,61
Poland Ekstraklasa,"2014/2015",Lech Poznań,65.66,65.67,54,53
Poland Ekstraklasa,"2015/2016",Lech Poznań,67.58,65.66,43,54
Poland Ekstraklasa,"2011/2012",Lechia Gdańsk,69.05,,31,
Poland Ekstraklasa,"2012/2013",Lechia Gdańsk,64.93,69.05,38,31
Poland Ekstraklasa,"2013/2014",Lechia Gdańsk,62.52,64.93,40,38
Poland Ekstraklasa,"2014/2015",Lechia Gdańsk,64.29,62.52,41,40
Poland Ekstraklasa,"2015/2016",Lechia Gdańsk,65.52,64.29,39,41
Poland Ekstraklasa,"2011/2012",Legia Warszawa,67.59,,53,
Poland Ekstraklasa,"2012/2013",Legia Warszawa,67.09,67.59,67,53
Poland Ekstraklasa,"2013/2014",Legia Warszawa,66.42,67.09,63,67
Poland Ekstraklasa,"2014/2015",Legia Warszawa,66.21,66.42,56,63
Poland Ekstraklasa,"2015/2016",Legia Warszawa,67.49,66.21,60,56
Poland Ekstraklasa,"2011/2012",P. Warszawa,63.8,,45,
Poland Ekstraklasa,"2012/2013",P. Warszawa,65.96,63.8,42,45
Poland Ekstraklasa,"2012/2013",Piast Gliwice,64.6,,46,
Poland Ekstraklasa,"2013/2014",Piast Gliwice,62.66,64.6,34,46
Poland Ekstraklasa,"2014/2015",Piast Gliwice,62.28,62.66,39,34
Poland Ekstraklasa,"2015/2016",Piast Gliwice,64.01,62.28,58,39
Poland Ekstraklasa,"2012/2013",Podbeskidzie Bielsko-Biała,62.6,,32,
Poland Ekstraklasa,"2013/2014",Podbeskidzie Bielsko-Biała,61.58,62.6,31,32
Poland Ekstraklasa,"2014/2015",Podbeskidzie Bielsko-Biała,61.76,61.58,39,31
Poland Ekstraklasa,"2015/2016",Podbeskidzie Bielsko-Biała,62.5,61.76,38,39
Poland Ekstraklasa,"2012/2013",Pogoń Szczecin,66.89,,35,
Poland Ekstraklasa,"2013/2014",Pogoń Szczecin,63.73,66.89,47,35
Poland Ekstraklasa,"2014/2015",Pogoń Szczecin,63.87,63.73,41,47
Poland Ekstraklasa,"2015/2016",Pogoń Szczecin,64.86,63.87,46,41
Poland Ekstraklasa,"2012/2013",Polonia Bytom,64.79,,43,
Poland Ekstraklasa,"2013/2014",Polonia Bytom,63.46,64.79,42,43
Poland Ekstraklasa,"2014/2015",Polonia Bytom,63.89,63.46,43,42
Poland Ekstraklasa,"2015/2016",Polonia Bytom,63.58,63.89,26,43
Poland Ekstraklasa,"2011/2012",Ruch Chorzów,67.71,,55,
Poland Ekstraklasa,"2012/2013",Ruch Chorzów,63.74,67.71,31,55
Poland Ekstraklasa,"2013/2014",Ruch Chorzów,62.12,63.74,50,31
Poland Ekstraklasa,"2014/2015",Ruch Chorzów,62.83,62.12,33,50
Poland Ekstraklasa,"2015/2016",Ruch Chorzów,62.5,62.83,39,33
Poland Ekstraklasa,"2015/2016",Termalica Bruk-Bet Nieciecza,62.51,,33,
Poland Ekstraklasa,"2011/2012",Widzew Łódź,66.27,,39,
Poland Ekstraklasa,"2012/2013",Widzew Łódź,64.37,66.27,33,39
Poland Ekstraklasa,"2013/2014",Widzew Łódź,62.61,64.37,22,33
Poland Ekstraklasa,"2010/2011",Wisła Kraków,68.84,,56,
Poland Ekstraklasa,"2011/2012",Wisła Kraków,67.76,68.84,43,56
Poland Ekstraklasa,"2012/2013",Wisła Kraków,62.18,67.76,38,43
Poland Ekstraklasa,"2013/2014",Wisła Kraków,63.92,62.18,45,38
Poland Ekstraklasa,"2014/2015",Wisła Kraków,65.23,63.92,43,45
Poland Ekstraklasa,"2015/2016",Wisła Kraków,64.6,65.23,37,43
Poland Ekstraklasa,"2012/2013",Zagłębie Lubin,63.03,,40,
Poland Ekstraklasa,"2013/2014",Zagłębie Lubin,63.48,63.03,29,40
Poland Ekstraklasa,"2015/2016",Zagłębie Lubin,62.85,63.48,45,29
Poland Ekstraklasa,"2013/2014",Zawisza Bydgoszcz,63.51,,42,
Poland Ekstraklasa,"2014/2015",Zawisza Bydgoszcz,63.83,63.51,29,42
Poland Ekstraklasa,"2011/2012",Śląsk Wrocław,69.14,,56,
Poland Ekstraklasa,"2012/2013",Śląsk Wrocław,64.92,69.14,47,56
Poland Ekstraklasa,"2013/2014",Śląsk Wrocław,63.52,64.92,34,47
Poland Ekstraklasa,"2014/2015",Śląsk Wrocław,63.31,63.52,46,34
Poland Ekstraklasa,"2015/2016",Śląsk Wrocław,64.94,63.31,34,46
Portugal Liga ZON Sagres,"2008/2009",Académica de Coimbra,68.96,,39,
Portugal Liga ZON Sagres,"2009/2010",Académica de Coimbra,68.32,68.96,33,39
Portugal Liga ZON Sagres,"2010/2011",Académica de Coimbra,69.16,68.32,30,33
Portugal Liga ZON Sagres,"2011/2012",Académica de Coimbra,68.69,69.16,29,30
Portugal Liga ZON Sagres,"2012/2013",Académica de Coimbra,69.82,68.69,28,29
Portugal Liga ZON Sagres,"2013/2014",Académica de Coimbra,69.56,69.82,37,28
Portugal Liga ZON Sagres,"2014/2015",Académica de Coimbra,69.26,69.56,29,37
Portugal Liga ZON Sagres,"2015/2016",Académica de Coimbra,69.28,69.26,25,29
Portugal Liga ZON Sagres,"2008/2009",Amadora,76.52,,34,
Portugal Liga ZON Sagres,"2014/2015",Boavista FC,68.61,,34,
Portugal Liga ZON Sagres,"2015/2016",Boavista FC,69.11,68.61,33,34
Portugal Liga ZON Sagres,"2008/2009",CD Nacional,69.82,,52,
Portugal Liga ZON Sagres,"2009/2010",CD Nacional,70.33,69.82,39,52
Portugal Liga ZON Sagres,"2010/2011",CD Nacional,70.51,70.33,42,39
Portugal Liga ZON Sagres,"2011/2012",CD Nacional,68.88,70.51,44,42
Portugal Liga ZON Sagres,"2012/2013",CD Nacional,70.16,68.88,40,44
Portugal Liga ZON Sagres,"2013/2014",CD Nacional,70.31,70.16,45,40
Portugal Liga ZON Sagres,"2014/2015",CD Nacional,70.36,70.31,47,45
Portugal Liga ZON Sagres,"2015/2016",CD Nacional,70.18,70.36,38,47
Portugal Liga ZON Sagres,"2008/2009",CF Os Belenenses,71.11,,24,
Portugal Liga ZON Sagres,"2009/2010",CF Os Belenenses,69.37,71.11,23,24
Portugal Liga ZON Sagres,"2013/2014",CF Os Belenenses,68.72,69.37,28,23
Portugal Liga ZON Sagres,"2014/2015",CF Os Belenenses,70.22,68.72,48,28
Portugal Liga ZON Sagres,"2015/2016",CF Os Belenenses,70.98,70.22,41,48
Portugal Liga ZON Sagres,"2008/2009",CS Marítimo,73.29,,37,
Portugal Liga ZON Sagres,"2009/2010",CS Marítimo,70.42,73.29,41,37
Portugal Liga ZON Sagres,"2010/2011",CS Marítimo,70.41,70.42,35,41
Portugal Liga ZON Sagres,"2011/2012",CS Marítimo,69.17,70.41,50,35
Portugal Liga ZON Sagres,"2012/2013",CS Marítimo,70.23,69.17,38,50
Portugal Liga ZON Sagres,"2013/2014",CS Marítimo,69.4,70.23,41,38
Portugal Liga ZON Sagres,"2014/2015",CS Marítimo,69.69,69.4,44,41
Portugal Liga ZON Sagres,"2015/2016",CS Marítimo,69.37,69.69,35,44
Portugal Liga ZON Sagres,"2012/2013",Estoril Praia,70.1,,45,
Portugal Liga ZON Sagres,"2013/2014",Estoril Praia,69.53,70.1,54,45
Portugal Liga ZON Sagres,"2014/2015",Estoril Praia,70.77,69.53,40,54
Portugal Liga ZON Sagres,"2015/2016",Estoril Praia,71.02,70.77,47,40
Portugal Liga ZON Sagres,"2013/2014",FC Arouca,69.02,,31,
Portugal Liga ZON Sagres,"2014/2015",FC Arouca,70,69.02,28,31
Portugal Liga ZON Sagres,"2015/2016",FC Arouca,70.23,70,54,28
Portugal Liga ZON Sagres,"2008/2009",FC Paços de Ferreira,71.78,,34,
Portugal Liga ZON Sagres,"2009/2010",FC Paços de Ferreira,68.26,71.78,35,34
Portugal Liga ZON Sagres,"2010/2011",FC Paços de Ferreira,67.3,68.26,41,35
Portugal Liga ZON Sagres,"2011/2012",FC Paços de Ferreira,68.47,67.3,31,41
Portugal Liga ZON Sagres,"2012/2013",FC Paços de Ferreira,70.44,68.47,54,31
Portugal Liga ZON Sagres,"2013/2014",FC Paços de Ferreira,69.07,70.44,24,54
Portugal Liga ZON Sagres,"2014/2015",FC Paços de Ferreira,69.53,69.07,47,24
Portugal Liga ZON Sagres,"2015/2016",FC Paços de Ferreira,70.04,69.53,49,47
Portugal Liga ZON Sagres,"2014/2015",FC Penafiel,69.36,,22,
Portugal Liga ZON Sagres,"2008/2009",FC Porto,77.16,,70,
Portugal Liga ZON Sagres,"2009/2010",FC Porto,76.69,77.16,68,70
Portugal Liga ZON Sagres,"2010/2011",FC Porto,76.96,76.69,84,68
Portugal Liga ZON Sagres,"2011/2012",FC Porto,77.49,76.96,75,84
Portugal Liga ZON Sagres,"2012/2013",FC Porto,77.47,77.49,78,75
Portugal Liga ZON Sagres,"2013/2014",FC Porto,76.02,77.47,61,78
Portugal Liga ZON Sagres,"2014/2015",FC Porto,76.58,76.02,82,61
Portugal Liga ZON Sagres,"2015/2016",FC Porto,76.69,76.58,73,82
Portugal Liga ZON Sagres,"2011/2012",Feirense,67.16,,24,
Portugal Liga ZON Sagres,"2011/2012",Gil Vicente FC,67.84,,34,
Portugal Liga ZON Sagres,"2012/2013",Gil Vicente FC,68.74,67.84,25,34
Portugal Liga ZON Sagres,"2013/2014",Gil Vicente FC,68.2,68.74,31,25
Portugal Liga ZON Sagres,"2014/2015",Gil Vicente FC,68.6,68.2,23,31
Portugal Liga ZON Sagres,"2008/2009",Leixões SC,70.78,,45,
Portugal Liga ZON Sagres,"2009/2010",Leixões SC,69.47,70.78,21,45
Portugal Liga ZON Sagres,"2012/2013",Moreirense FC,69.88,,24,
Portugal Liga ZON Sagres,"2014/2015",Moreirense FC,70.02,69.88,43,24
Portugal Liga ZON Sagres,"2015/2016",Moreirense FC,70.93,70.02,36,43
Portugal Liga ZON Sagres,"2008/2009",Naval 1° de Maio,68.48,,29,
Portugal Liga ZON Sagres,"2009/2010",Naval 1° de Maio,68.9,68.48,36,29
Portugal Liga ZON Sagres,"2010/2011",Naval 1° de Maio,68.32,68.9,23,36
Portugal Liga ZON Sagres,"2010/2011",Portimonense,68.89,,25,
Portugal Liga ZON Sagres,"2008/2009",Rio Ave FC,67.45,,30,
Portugal Liga ZON Sagres,"2009/2010",Rio Ave FC,68.34,67.45,31,30
Portugal Liga ZON Sagres,"2010/2011",Rio Ave FC,69.14,68.34,38,31
Portugal Liga ZON Sagres,"2011/2012",Rio Ave FC,69.26,69.14,28,38
Portugal Liga ZON Sagres,"2012/2013",Rio Ave FC,69.55,69.26,42,28
Portugal Liga ZON Sagres,"2013/2014",Rio Ave FC,69.68,69.55,32,42
Portugal Liga ZON Sagres,"2014/2015",Rio Ave FC,70.36,69.68,43,32
Portugal Liga ZON Sagres,"2015/2016",Rio Ave FC,70.86,70.36,50,43
Portugal Liga ZON Sagres,"2009/2010",S.C. Olhanense,67.79,,29,
Portugal Liga ZON Sagres,"2010/2011",S.C. Olhanense,67.89,67.79,34,29
Portugal Liga ZON Sagres,"2011/2012",S.C. Olhanense,69.29,67.89,39,34
Portugal Liga ZON Sagres,"2012/2013",S.C. Olhanense,69.67,69.29,25,39
Portugal Liga ZON Sagres,"2013/2014",S.C. Olhanense,68.4,69.67,24,25
Portugal Liga ZON Sagres,"2010/2011",SC Beira Mar,67.86,,33,
Portugal Liga ZON Sagres,"2011/2012",SC Beira Mar,67.76,67.86,29,33
Portugal Liga ZON Sagres,"2012/2013",SC Beira Mar,68.56,67.76,23,29
Portugal Liga ZON Sagres,"2008/2009",SC Braga,73.16,,50,
Portugal Liga ZON Sagres,"2009/2010",SC Braga,73.25,73.16,71,50
Portugal Liga ZON Sagres,"2010/2011",SC Braga,73.36,73.25,46,71
Portugal Liga ZON Sagres,"2011/2012",SC Braga,73.4,73.36,62,46
Portugal Liga ZON Sagres,"2012/2013",SC Braga,73.77,73.4,52,62
Portugal Liga ZON Sagres,"2013/2014",SC Braga,71.81,73.77,37,52
Portugal Liga ZON Sagres,"2014/2015",SC Braga,73.04,71.81,58,37
Portugal Liga ZON Sagres,"2015/2016",SC Braga,72.69,73.04,58,58
Portugal Liga ZON Sagres,"2008/2009",SL Benfica,75.4,,59,
Portugal Liga ZON Sagres,"2009/2010",SL Benfica,77.29,75.4,76,59
Portugal Liga ZON Sagres,"2010/2011",SL Benfica,76.4,77.29,63,76
Portugal Liga ZON Sagres,"2011/2012",SL Benfica,77.04,76.4,69,63
Portugal Liga ZON Sagres,"2012/2013",SL Benfica,76.52,77.04,77,69
Portugal Liga ZON Sagres,"2013/2014",SL Benfica,76.69,76.52,74,77
Portugal Liga ZON Sagres,"2014/2015",SL Benfica,76.51,76.69,85,74
Portugal Liga ZON Sagres,"2015/2016",SL Benfica,75.18,76.51,88,85
Portugal Liga ZON Sagres,"2008/2009",Sporting CP,75.45,,66,
Portugal Liga ZON Sagres,"2009/2010",Sporting CP,75.77,75.45,48,66
Portugal Liga ZON Sagres,"2010/2011",Sporting CP,75.01,75.77,48,48
Portugal Liga ZON Sagres,"2011/2012",Sporting CP,75.51,75.01,59,48
Portugal Liga ZON Sagres,"2012/2013",Sporting CP,74.57,75.51,42,59
Portugal Liga ZON Sagres,"2013/2014",Sporting CP,74.33,74.57,67,42
Portugal Liga ZON Sagres,"2014/2015",Sporting CP,75.72,74.33,76,67
Portugal Liga ZON Sagres,"2015/2016",Sporting CP,76.07,75.72,86,76
Portugal Liga ZON Sagres,"2015/2016",Tondela,70.78,,30,
Portugal Liga ZON Sagres,"2008/2009",Trofense,68.5,,23,
Portugal Liga ZON Sagres,"2015/2016",Uniao da Madeira,70.73,,29,
Portugal Liga ZON Sagres,"2009/2010","União de Leiria, SAD",68.09,,35,
Portugal Liga ZON Sagres,"2010/2011","União de Leiria, SAD",69.61,68.09,35,35
Portugal Liga ZON Sagres,"2011/2012","União de Leiria, SAD",67.96,69.61,19,35
Portugal Liga ZON Sagres,"2008/2009",Vitória Guimarães,71.59,,38,
Portugal Liga ZON Sagres,"2009/2010",Vitória Guimarães,70.02,71.59,41,38
Portugal Liga ZON Sagres,"2010/2011",Vitória Guimarães,69.8,70.02,43,41
Portugal Liga ZON Sagres,"2011/2012",Vitória Guimarães,70.34,69.8,45,43
Portugal Liga ZON Sagres,"2012/2013",Vitória Guimarães,68.94,70.34,40,45
Portugal Liga ZON Sagres,"2013/2014",Vitória Guimarães,69.33,68.94,35,40
Portugal Liga ZON Sagres,"2014/2015",Vitória Guimarães,70.8,69.33,55,35
Portugal Liga ZON Sagres,"2015/2016",Vitória Guimarães,70.88,70.8,40,55
Portugal Liga ZON Sagres,"2008/2009",Vitória Setúbal,71.74,,26,
Portugal Liga ZON Sagres,"2009/2010",Vitória Setúbal,70.28,71.74,25,26
Portugal Liga ZON Sagres,"2010/2011",Vitória Setúbal,69.02,70.28,34,25
Portugal Liga ZON Sagres,"2011/2012",Vitória Setúbal,69.5,69.02,30,34
Portugal Liga ZON Sagres,"2012/2013",Vitória Setúbal,68.47,69.5,26,30
Portugal Liga ZON Sagres,"2013/2014",Vitória Setúbal,68.8,68.47,39,26
Portugal Liga ZON Sagres,"2014/2015",Vitória Setúbal,69.7,68.8,29,39
Portugal Liga ZON Sagres,"2015/2016",Vitória Setúbal,70.34,69.7,30,29
Scotland Premier League,"2008/2009",Aberdeen,67.28,,53,
Scotland Premier League,"2009/2010",Aberdeen,66.3,67.28,41,53
Scotland Premier League,"2010/2011",Aberdeen,65.16,66.3,38,41
Scotland Premier League,"2011/2012",Aberdeen,63.58,65.16,41,38
Scotland Premier League,"2012/2013",Aberdeen,63.93,63.58,48,41
Scotland Premier League,"2013/2014",Aberdeen,64.33,63.93,68,48
Scotland Premier League,"2014/2015",Aberdeen,65.24,64.33,75,68
Scotland Premier League,"2015/2016",Aberdeen,65.78,65.24,71,75
Scotland Premier League,"2008/2009",Celtic,73.8,,82,
Scotland Premier League,"2009/2010",Celtic,71.65,73.8,81,82
Scotland Premier League,"2010/2011",Celtic,70.72,71.65,92,81
Scotland Premier League,"2011/2012",Celtic,70.31,70.72,93,92
Scotland Premier League,"2012/2013",Celtic,70.14,70.31,79,93
Scotland Premier League,"2013/2014",Celtic,69.58,70.14,99,79
Scotland Premier League,"2014/2015",Celtic,70.04,69.58,92,99
Scotland Premier League,"2015/2016",Celtic,69.28,70.04,86,92
Scotland Premier League,"2012/2013",Dundee FC,61.94,,30,
Scotland Premier League,"2014/2015",Dundee FC,62.21,61.94,45,30
Scotland Premier League,"2015/2016",Dundee FC,62.09,62.21,48,45
Scotland Premier League,"2008/2009",Dundee United,66.56,,53,
Scotland Premier League,"2009/2010",Dundee United,67.43,66.56,63,53
Scotland Premier League,"2010/2011",Dundee United,67.3,67.43,61,63
Scotland Premier League,"2011/2012",Dundee United,66.46,67.3,59,61
Scotland Premier League,"2012/2013",Dundee United,65.07,66.46,47,59
Scotland Premier League,"2013/2014",Dundee United,64.21,65.07,58,47
Scotland Premier League,"2014/2015",Dundee United,63.5,64.21,56,58
Scotland Premier League,"2015/2016",Dundee United,63.08,63.5,31,56
Scotland Premier League,"2011/2012",Dunfermline Athletic,63.04,,25,
Scotland Premier League,"2008/2009",Falkirk,65.67,,38,
Scotland Premier League,"2009/2010",Falkirk,64.34,65.67,31,38
Scotland Premier League,"2008/2009",Hamilton Academical FC,64.66,,41,
Scotland Premier League,"2009/2010",Hamilton Academical FC,65.4,64.66,49,41
Scotland Premier League,"2010/2011",Hamilton Academical FC,63.89,65.4,26,49
Scotland Premier League,"2014/2015",Hamilton Academical FC,61,63.89,53,26
Scotland Premier League,"2015/2016",Hamilton Academical FC,60.73,61,43,53
Scotland Premier League,"2008/2009",Heart of Midlothian,66.46,,59,
Scotland Premier League,"2009/2010",Heart of Midlothian,66.87,66.46,48,59
Scotland Premier League,"2010/2011",Heart of Midlothian,66.6,66.87,63,48
Scotland Premier League,"2011/2012",Heart of Midlothian,66.54,66.6,52,63
Scotland Premier League,"2012/2013",Heart of Midlothian,63.43,66.54,44,52
Scotland Premier League,"2013/2014",Heart of Midlothian,61.69,63.43,38,44
Scotland Premier League,"2015/2016",Heart of Midlothian,64.35,61.69,65,38
Scotland Premier League,"2008/2009",Hibernian,67.38,,47,
Scotland Premier League,"2009/2010",Hibernian,67.9,67.38,54,47
Scotland Premier League,"2010/2011",Hibernian,65.11,67.9,37,54
